corridor,micro_zone,city,priority,name,sector,phone,phone_quality,ask_for,offer,hook,google_maps,source
Base Río Tercero,Río Tercero,Río Tercero,A,ESISA,Viviendas/módulos industrializados,Portería parque: 03571 565662; mail esisaservicios@gmail.com,VER,operaciones / entregas,"Entrega y descarga de módulos/containers con plataforma, malacate e hidrogrúa según maniobra.",Socio natural para entregas de módulos a obra.,"https://www.google.com/maps/search/?api=1&query=-32.182000,-64.107000",Parque Industrial Río Tercero
Base Río Tercero,Río Tercero,Río Tercero,A,Hormicor,Hormigón elaborado,03571 500888 / 03571 510066,OK,planta / mantenimiento,Movimiento de equipos de cantera/planta; transporte de material suelto sujeto a confirmar unidad o esquema operativo.,Ofrecer respaldo para picos de obra y traslados de equipos.,"https://www.google.com/maps/search/?api=1&query=-32.178000,-64.111000",hormigonelaborado.com / Hormicor
Base Río Tercero,Río Tercero,Río Tercero,A,IMBAL S.A.,Estructuras metálicas / montaje,A relevar en terreno,A relevar,despacho / producción,"Despacho de estructuras, tanques, transformadores, piezas de ingeniería y equipos sobre plataforma 20 tn.",Fabrican y montan; pedir responsable de despacho/montaje.,"https://www.google.com/maps/search/?api=1&query=-32.180000,-64.106000",Parque Industrial Río Tercero / LinkedIn comercial
Base Río Tercero,Río Tercero,Río Tercero,A,Metalúrgica Novaretti,Recipientes y equipos metalmecánicos,03571 414282 / 03571 606930,OK,despacho / producción,"Despacho de estructuras, tanques, transformadores, piezas de ingeniería y equipos sobre plataforma 20 tn.",Cotizar despacho recurrente a plantas/obras.,"https://www.google.com/maps/search/?api=1&query=-32.169000,-64.117000",novaretti.com.ar
Base Río Tercero,Río Tercero,Río Tercero,A,Tres Eme S.A.,Silos y mecanización,03571 432190 / 03571 637720,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Ofrecer flete + descarga/posicionamiento en obra rural.,"https://www.google.com/maps/search/?api=1&query=-32.181000,-64.103000",parqueindustrial.riotercero.gob.ar/empresa/Tres-Eme-S.A.
Base Río Tercero,Río Tercero,Río Tercero,A,Vial del Centro,Obras de infraestructura vial,0351 6411413,OK,operaciones / entregas,"Entrega y descarga de módulos/containers con plataforma, malacate e hidrogrúa según maniobra.",Pedir próximo movimiento de maquinaria entre frentes.,"https://www.google.com/maps/search/?api=1&query=-32.183000,-64.101000",Parque Industrial Río Tercero
Base Río Tercero,Río Tercero,Río Tercero,B,Atanor / Albaugh,Química / agroquímicos,A relevar,A relevar,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",No vender por puerta fría baja; pedir compras/mantenimiento.,"https://www.google.com/maps/search/?api=1&query=-32.173000,-64.110000",Albaugh / noticias sectoriales
Base Río Tercero,Río Tercero,Río Tercero,B,Charrúa Implementos Agrícolas,Implementos agrícolas,03571 619149 / 03571 503663 (a confirmar),VER,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Pedir frecuencia de entregas a concesionarios/campos.,"https://www.google.com/maps/search/?api=1&query=-32.168609,-64.118792",Web/Facebook Charrúa
Base Río Tercero,Río Tercero,Río Tercero,B,Fábrica Militar Río Tercero,Industria estatal / metalmecánica pesada,A relevar,A relevar,despacho / producción,"Despacho de estructuras, tanques, transformadores, piezas de ingeniería y equipos sobre plataforma 20 tn.",Entrar por proveedores/subcontratistas antes que compra directa estatal.,"https://www.google.com/maps/search/?api=1&query=-32.181966,-64.113216",Fabricaciones Militares / informes previos
Base Río Tercero,Río Tercero,Río Tercero,B,HIDROSERVIS,Cilindros hidráulicos,Portería parque: 03571 565662,VER,responsable de logística/compras,Detectar el próximo movimiento pesado y convertirlo en cotización concreta.,Ofrecer servicio de retiro/entrega de equipos pesados.,"https://www.google.com/maps/search/?api=1&query=-32.181800,-64.104800",Parque Industrial Río Tercero
Base Río Tercero,Río Tercero,Río Tercero,B,Hidrobull,Accesorios para minicargadoras,03571 549612,OK,responsable de logística/compras,Detectar el próximo movimiento pesado y convertirlo en cotización concreta.,Preguntar si entregan accesorios con terceros.,"https://www.google.com/maps/search/?api=1&query=-32.171500,-64.116500",Facebook Hidrobull
Base Río Tercero,Río Tercero,Río Tercero,B,Hormilas S.A.,Hormigón elaborado,03571 573231 (a confirmar),VER,operaciones / planta,"Traslado de equipos de planta, bombas, premoldeados y apoyo a picos de obra.",Visita breve: detectar si tercerizan fletes de planta.,"https://www.google.com/maps/search/?api=1&query=-32.163876,-64.106999",Parque Industrial Río Tercero / búsqueda web
