name,kind,corridor,micro_zone,city,priority,sector,phone,lat,lon,google_maps,geocode_quality,fit,hook,source
ESISA,prospect,Base Río Tercero,Río Tercero,Río Tercero,A,Viviendas/módulos industrializados,Portería parque: 03571 565662; mail esisaservicios@gmail.com,-32.182,-64.107,"https://www.google.com/maps/search/?api=1&query=-32.182000,-64.107000",address/zone approx,Módulos habitacionales: planchada + malacate + descarga.,Socio natural para entregas de módulos a obra.,Parque Industrial Río Tercero
Hormicor,prospect,Base Río Tercero,Río Tercero,Río Tercero,A,Hormigón elaborado,03571 500888 / 03571 510066,-32.178,-64.111,"https://www.google.com/maps/search/?api=1&query=-32.178000,-64.111000",address/zone approx,"Movimiento de equipos, plantas móviles, bombas, áridos y premoldeados.",Ofrecer respaldo para picos de obra y traslados de equipos.,hormigonelaborado.com / Hormicor
IMBAL S.A.,prospect,Base Río Tercero,Río Tercero,Río Tercero,A,Estructuras metálicas / montaje,A relevar en terreno,-32.18,-64.106,"https://www.google.com/maps/search/?api=1&query=-32.180000,-64.106000",address/zone approx,Plataforma + hidrogrúa para estructuras y obras metálicas.,Fabrican y montan; pedir responsable de despacho/montaje.,Parque Industrial Río Tercero / LinkedIn comercial
Metalúrgica Novaretti,prospect,Base Río Tercero,Río Tercero,Río Tercero,A,Recipientes y equipos metalmecánicos,03571 414282 / 03571 606930,-32.169,-64.117,"https://www.google.com/maps/search/?api=1&query=-32.169000,-64.117000",address/zone approx,"Piezas de ingeniería, tanques y recipientes en plataforma 20 tn.",Cotizar despacho recurrente a plantas/obras.,novaretti.com.ar
Tres Eme S.A.,prospect,Base Río Tercero,Río Tercero,Río Tercero,A,Silos y mecanización,03571 432190 / 03571 637720,-32.181,-64.103,"https://www.google.com/maps/search/?api=1&query=-32.181000,-64.103000",address/zone approx,"Traslado de silos, piezas, norias y estructuras.",Ofrecer flete + descarga/posicionamiento en obra rural.,parqueindustrial.riotercero.gob.ar/empresa/Tres-Eme-S.A.
Vial del Centro,prospect,Base Río Tercero,Río Tercero,Río Tercero,A,Obras de infraestructura vial,0351 6411413,-32.183,-64.101,"https://www.google.com/maps/search/?api=1&query=-32.183000,-64.101000",address/zone approx,Transporte de equipos viales y módulos de obrador.,Pedir próximo movimiento de maquinaria entre frentes.,Parque Industrial Río Tercero
Atanor / Albaugh,prospect,Base Río Tercero,Río Tercero,Río Tercero,B,Química / agroquímicos,A relevar,-32.173,-64.11,"https://www.google.com/maps/search/?api=1&query=-32.173000,-64.110000",city offset approx,"Piezas industriales, mantenimiento, repuestos pesados.",No vender por puerta fría baja; pedir compras/mantenimiento.,Albaugh / noticias sectoriales
Charrúa Implementos Agrícolas,prospect,Base Río Tercero,Río Tercero,Río Tercero,B,Implementos agrícolas,03571 619149 / 03571 503663 (a confirmar),-32.168609,-64.118792,"https://www.google.com/maps/search/?api=1&query=-32.168609,-64.118792",city offset approx,Despacho de implementos y equipos agrícolas.,Pedir frecuencia de entregas a concesionarios/campos.,Web/Facebook Charrúa
Fábrica Militar Río Tercero,prospect,Base Río Tercero,Río Tercero,Río Tercero,B,Industria estatal / metalmecánica pesada,A relevar,-32.181966,-64.113216,"https://www.google.com/maps/search/?api=1&query=-32.181966,-64.113216",city offset approx,"Piezas de ingeniería, vagones, estructuras y equipamiento.",Entrar por proveedores/subcontratistas antes que compra directa estatal.,Fabricaciones Militares / informes previos
HIDROSERVIS,prospect,Base Río Tercero,Río Tercero,Río Tercero,B,Cilindros hidráulicos,Portería parque: 03571 565662,-32.1818,-64.1048,"https://www.google.com/maps/search/?api=1&query=-32.181800,-64.104800",address/zone approx,Traslado de cilindros/equipos hidráulicos y servicios a clientes.,Ofrecer servicio de retiro/entrega de equipos pesados.,Parque Industrial Río Tercero
Hidrobull,prospect,Base Río Tercero,Río Tercero,Río Tercero,B,Accesorios para minicargadoras,03571 549612,-32.1715,-64.1165,"https://www.google.com/maps/search/?api=1&query=-32.171500,-64.116500",address/zone approx,"Despacho de accesorios viales/agrícolas, soporte a clientes.",Preguntar si entregan accesorios con terceros.,Facebook Hidrobull
Hormilas S.A.,prospect,Base Río Tercero,Río Tercero,Río Tercero,B,Hormigón elaborado,03571 573231 (a confirmar),-32.163876,-64.106999,"https://www.google.com/maps/search/?api=1&query=-32.163876,-64.106999",city offset approx,"Materiales, equipos y traslados de apoyo a obra.",Visita breve: detectar si tercerizan fletes de planta.,Parque Industrial Río Tercero / búsqueda web
MetalMec S.R.L.,prospect,Base Río Tercero,Río Tercero,Río Tercero,B,Implementos y accesorios,03571 681577 / 03571 506656,-32.1705,-64.1185,"https://www.google.com/maps/search/?api=1&query=-32.170500,-64.118500",address/zone approx,Despacho de equipos y accesorios; plataforma o carga general.,Ofrecer retiro/entrega con monitoreo GPS.,Facebook MetalMec
Oleos San José S.R.L.,prospect,Base Río Tercero,Río Tercero,Río Tercero,B,Extrusado/aceite de soja,03571 692471 / 03571 640630,-32.1826,-64.1025,"https://www.google.com/maps/search/?api=1&query=-32.182600,-64.102500",address/zone approx,"Movimiento de equipos, repuestos, cargas industriales.",Entrar por mantenimiento/planta.,Parque Industrial Río Tercero
Grupo AVO S.A.,prospect,Base Río Tercero,Río Tercero,Río Tercero,C,Aceite de soja / balanceados,Portería parque: 03571 565662,-32.175431,-64.127787,"https://www.google.com/maps/search/?api=1&query=-32.175431,-64.127787",city offset approx,Cargas industriales y mantenimiento.,Visitar si queda en ruta del parque.,Parque Industrial Río Tercero
Áridos S.A.,prospect,Base Río Tercero,Río Tercero,Río Tercero,C,Áridos / cantera,A relevar,-32.175149,-64.110626,"https://www.google.com/maps/search/?api=1&query=-32.175149,-64.110626",city offset approx,Áridos y movimiento de equipos de cantera.,Solo vender si se confirma caja volcadora o servicio tercerizable.,EMIS / Instagram @aridos.sa
Cotagro — Alcira Gigena,prospect,Río Cuarto / RN36 sur,Alcira Gigena,Alcira Gigena,A,Cooperativa agroindustrial / maní / acopio,358 4393127 / 358 4125695 / 0358 4933333,-32.755782,-64.339199,"https://www.google.com/maps/search/?api=1&query=-32.755782,-64.339199",address/zone approx,"Silos, maquinaria agro, plantas, módulos y materiales.",Cotagro concentra 4 puntos del corredor; pedir compras/logística.,Facebook Cotagro / cotagroweb.com.ar
Cooperativa Alba de Gigena,prospect,Río Cuarto / RN36 sur,Alcira Gigena,Alcira Gigena,B,Cooperativa agropecuaria,0358 4960151,-32.7575,-64.335,"https://www.google.com/maps/search/?api=1&query=-32.757500,-64.335000",address/zone approx,"Movimientos de planta, balanzas, maquinaria y materiales.",Visita de diagnóstico; posible derivación a productores.,DNB / fuentes públicas
3C Biogás S.A.,prospect,Río Cuarto / RN36 sur,Alcira Gigena,Alcira Gigena,C,Energía / biogás,A relevar,-32.757,-64.332,"https://www.google.com/maps/search/?api=1&query=-32.757000,-64.332000",city offset approx,"Equipos industriales, mantenimiento, estructuras.",Prospecto técnico; validar contacto local en terreno.,UNRC / investigación web
Doble A Servicios Metalúrgicos,prospect,Río Cuarto / RN36 sur,Berrotarán,Berrotarán,B,Zinguería / estructuras metálicas,358 4185826,-32.452,-64.388,"https://www.google.com/maps/search/?api=1&query=-32.452000,-64.388000",address/zone approx,"Traslado de chapas, estructuras, tinglados.",Visitar y detectar obras/instalaciones próximas.,Facebook Doble A Servicios Metalúrgicos
Canteras/corralones locales,prospect,Río Cuarto / RN36 sur,Berrotarán,Berrotarán,C,Áridos / materiales,A relevar,-32.452,-64.384,"https://www.google.com/maps/search/?api=1&query=-32.452000,-64.384000",city offset approx,"Áridos, premoldeados, equipos de cantera.",Relevamiento presencial: la web no muestra nombres confiables.,Relevamiento recomendado
Cotagro — Sucursal Chucul,prospect,Río Cuarto / RN36 sur,Chucul,Chucul,B,Acopio agropecuario,0358 4912008 / 0358 4933333,-33.016,-64.208,"https://www.google.com/maps/search/?api=1&query=-33.016000,-64.208000",address/zone approx,Maquinaria/agroinsumos; derivación hacia Cotagro central.,Punto de paso; no dedicar medio día.,Maptons / Cotagro
