ID,Estado de contacto,Corredor,Microzona,Ciudad,Clase,Puntaje operativo,Empresa,Sector,Segmento comercial,Teléfonos,Calidad del teléfono,Teléfono principal (tel:),Links telefónicos,Preguntar por,Necesidad probable,Oferta PRESOL,Gancho comercial,Acción sugerida,Dato pendiente,Google Maps,Fuente,URL fuente,Evidencia,Calidad del dato,Origen del registro,Resultado,Fecha de visita,Próximo paso,Notas de campo,Servicios PRESOL a ofrecer,Rubro foco enriquecimiento,Ciudad foco solicitada,Prioridad visita sugerida,Observación servicio nuevo,Fuente unificación,Notas de unificación
RT-001,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,A,100,Hormicor,Hormigón elaborado,Hormigón / áridos / premoldeados,03571 500888 / 03571 510066,OK,tel:+543571500888,tel:+543571500888 | tel:+543571510066,planta / mantenimiento,"Movimiento de premoldeados, equipos de planta/cantera, bombas, moldes y cargas pesadas.",Movimiento de equipos de cantera/planta; transporte de material suelto sujeto a confirmar unidad o esquema operativo.,Ofrecer respaldo para picos de obra y traslados de equipos.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.178000,-64.111000",hormigonelaborado.com / Hormicor,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones,áridos/construcción/premoldeados,Sí,Muy alta,Áridos/materiales: confirmar modalidad de carga/descarga y tipo de unidad requerida antes de cotizar.,GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios.
RT-002,Pendiente,Base Río Tercero,Río Tercero / zona industrial,Río Tercero,A,100,Metalúrgica Monticelli,Fabricación de implementos agrícolas,Industria / mantenimiento,+54 3571 613058 / +54 3571 613060,OK,tel:+543571613058,tel:+543571613058 | tel:+543571613060,logística / despacho / postventa,"Traslado de maquinaria, implementos, equipos terminados y componentes de gran porte entre planta, cliente, obra o feria.",Plataforma 20 tn + malacate/hidrogrúa según maniobra + seguro de carga + trazabilidad GPS.,"Fabricante con más de 30 años, ubicado en RP6 km 3,5; produce rastras, rolos, terraceadoras y otros implementos.","Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=Metal%C3%BArgica+Monticelli+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Web propia Metalúrgica Monticelli,https://www.metalmonticelli.site/,"Fabricante con más de 30 años, ubicado en RP6 km 3,5; produce rastras, rolos, terraceadoras y otros implementos.",Alta,Enriquecimiento web 2026-09-07,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones | plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,fabricante/servicio maquinaria agrícola,Sí,Muy alta,,GPT adjunto,
RT-003,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,A,100,Metalúrgica Novaretti,Recipientes y equipos metalmecánicos,Metalmecánica / despacho,03571 414282 / 03571 606930,OK,tel:+543571414282,tel:+543571414282 | tel:+543571606930,despacho / producción,"Despacho seguro de estructuras, carrozados, tanques, piezas industriales y equipos sobre plataforma.","Despacho de estructuras, tanques, transformadores, piezas de ingeniería y equipos sobre plataforma 20 tn.",Cotizar despacho recurrente a plantas/obras.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.169000,-64.117000",novaretti.com.ar,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,otro rubro factible,Sí,Muy alta,,GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios.
RT-004,Pendiente,Base Río Tercero,Parque Industrial Leonardo Da Vinci,Río Tercero,A,100,Metalúrgica Río Tercero S.A.,"Equipamiento minero, vial y agroindustrial / fundición",Agro / acopio / planta,03571 430558,OK,tel:+543571430558,tel:+543571430558,despacho / producción,"Traslado de equipos de planta, silos, repuestos pesados, balanzas, implementos y cargas especiales.",Transporte de repuestos/equipos/silos/implementos + coordinación de retiro y descarga.,"Produce equipamiento e insumos para minería, vial y agroindustria; encaje directo con cargas pesadas.","Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Metal%C3%BArgica+R%C3%ADo+Tercero+S.A.+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Maquinac / Parque Industrial Río Tercero,https://maquinac.com/empresas/metalurgica-rio-tercero,"Maquinac informa dirección en Parque Industrial, teléfono y rubro minero/vial/agroindustrial.",Alta,Nuevo enriquecimiento 2026-09-02,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,otro rubro factible,Sí,Muy alta,"Percha pallets: útil para insumos, bolsones, repuestos y materiales palletizados.",GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios.
RT-005,Pendiente,Base Río Tercero,Río Tercero / Av. Savio,Río Tercero,A,100,NT Construcciones,Obras civiles industriales / montaje,Obra / constructora,+54 9 3571 597645,OK,tel:+5493571597645,tel:+5493571597645,operaciones / jefe de obra,"Traslado de maquinaria, módulos de obrador, estructuras, equipos y cargas pesadas entre frentes.",Transporte especial de equipos/obrador + apoyo de hidrogrúa según maniobra + seguro/GPS.,"Obras civiles industriales, montaje de naves y mantenimiento en complejos fabriles; clientes industriales regionales.","Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=NT+Construcciones+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Web propia NT Construcciones,https://ntconstrucciones.com,"Servicios: obras civiles industriales, estructuras de hormigón, montaje de naves; teléfono y oficina publicados.",Alta,Nuevo enriquecimiento 2026-09-02,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones,otro rubro factible,Sí,Muy alta,,GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios.
RT-006,Pendiente,Base Río Tercero,Río Tercero / zona industrial,Río Tercero,A,100,Sinfix SAS,Sinfines para agro e industria,Metalmecánica / despacho,+54 9 3571 405077,OK,tel:+5493571405077,tel:+5493571405077,despacho / producción,"Despacho de estructuras, piezas, equipos y conjuntos metalmecánicos de gran porte hacia obras o clientes.",Plataforma 20 tn para piezas/estructuras + seguro de carga + trazabilidad GPS + apoyo de hidrogrúa según maniobra.,"Fabrica sinfines para sectores agrícola, ganadero, minero y alimenticio; despacho nacional de piezas y conjuntos.","Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=Sinfix+SAS+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Web propia SINFIX,https://sinfix.com.ar/,"Fabrica sinfines para sectores agrícola, ganadero, minero y alimenticio; despacho nacional de piezas y conjuntos.",Alta,Enriquecimiento web 2026-09-07,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones | plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,otro rubro factible,Sí,Muy alta,"Percha pallets: útil para insumos, bolsones, repuestos y materiales palletizados.",GPT adjunto,
RT-007,Pendiente,Base Río Tercero,Río Tercero / zona industrial,Río Tercero,A,100,Suragro - Implementos Agrícolas,Fabricación de maquinaria agrícola,Industria / mantenimiento,03571 424574,OK,tel:+543571424574,tel:+543571424574,logística / despacho / postventa,"Traslado de maquinaria, implementos, equipos terminados y componentes de gran porte entre planta, cliente, obra o feria.",Plataforma 20 tn + malacate/hidrogrúa según maniobra + seguro de carga + trazabilidad GPS.,Fabricante local de maquinaria agrícola; alto potencial de despachos de equipos terminados.,"Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=Suragro+-+Implementos+Agr%C3%ADcolas+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Google Maps / ficha pública,https://www.google.com/maps/search/?api=1&query=Suragro+Implementos+Agr%C3%ADcolas+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Fabricante local de maquinaria agrícola; alto potencial de despachos de equipos terminados.,Alta,Enriquecimiento web 2026-09-07,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones | plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,fabricante/servicio maquinaria agrícola,Sí,Muy alta,,GPT adjunto,
RT-008,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,A,100,Tres Eme S.A.,Silos y mecanización,Agro / acopio / planta,03571 432190 / 03571 637720,OK,tel:+543571432190,tel:+543571432190 | tel:+543571637720,responsable de acopio / mantenimiento,"Traslado de equipos de planta, silos, repuestos pesados, balanzas, implementos y cargas especiales.","Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Ofrecer flete + descarga/posicionamiento en obra rural.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.181000,-64.103000",parqueindustrial.riotercero.gob.ar/empresa/Tres-Eme-S.A.,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets | percha para pallets de insumos | hidrogrúa para equipos/mantenimiento | barquilla para trabajos en altura,otro rubro factible,Sí,Muy alta,,GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios.
RT-009,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,A,100,Vial del Centro,Obras de infraestructura vial,Obra / constructora,0351 6411413,OK,tel:+543516411413,tel:+543516411413,operaciones / entregas,"Traslado de maquinaria, módulos de obrador, estructuras, equipos y cargas pesadas entre frentes.","Entrega y descarga de módulos/containers con plataforma, malacate e hidrogrúa según maniobra.",Pedir próximo movimiento de maquinaria entre frentes.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.183000,-64.101000",Parque Industrial Río Tercero,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones,otro rubro factible,Sí,Muy alta,,GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios.
RT-010,Pendiente,Base Río Tercero,Río Tercero / zona industrial,Río Tercero,A,96,HORMIWORK S.A.,Premoldeados de hormigón pulido,Hormigón / áridos / premoldeados,03571 565662 (portería parque),VER,tel:+543571565662,tel:+543571565662,planta / despacho,"Movimiento de premoldeados, moldes, equipos de planta y cargas pesadas asociadas a obra.",Transporte de premoldeados/equipos en plataforma + coordinación de descarga/posicionamiento con hidrogrúa cuando aplique.,Empresa radicada para fabricar premoldeados de hormigón pulido; contacto por correo/parque.,"Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=HORMIWORK+S.A.+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Parque Industrial Río Tercero,https://parqueindustrial.riotercero.gob.ar/empresa/HORMIWORK-S.A.,Empresa radicada para fabricar premoldeados de hormigón pulido; contacto por correo/parque. | Ficha del parque: fabricación de premoldeados de hormigón pulido; dirección E. del Campo 1271; contacto hormiwork@gmail.com.,Media,Enriquecimiento web 2026-09-07,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones,áridos/construcción/premoldeados,Sí,Alta,Áridos/materiales: confirmar modalidad de carga/descarga y tipo de unidad requerida antes de cotizar.,GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios. | ID fuente: RT-016
