ranking,priority,name,corridor,micro_zone,city,sector,phone,phone_quality,ask_for,offer,hook,google_maps,source,score
1,A,AFEMA S.A.,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,Constructora vial,0351 7371862,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador y materiales entre frentes; descarga segura con hidrogrúa cuando aplique.",Obras viales activas; pedir jefe de obra/logística.,"https://www.google.com/maps/search/?api=1&query=-33.105000,-64.335000",Facebook AFEMA,134
2,A,Construcciones Metálicas El Colono S.A.,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,Estructuras metálicas / silos,0358 4628525,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador y materiales entre frentes; descarga segura con hidrogrúa cuando aplique.",Uno de los mejores encajes; pedir despacho/montaje.,"https://www.google.com/maps/search/?api=1&query=-33.151690,-64.357888",elcolonosa.com.ar / Facebook,134
3,A,Dexco Constructora,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,Constructora local,0358 4640139 / 0358 154869634,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador y materiales entre frentes; descarga segura con hidrogrúa cuando aplique.",Tiene obras activas; pedir compras/operaciones.,"https://www.google.com/maps/search/?api=1&query=-33.112715,-64.369622",constructoradexco.com/contacto,134
4,A,Soardo Construcciones,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,Constructora local,0358 4166315,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador y materiales entre frentes; descarga segura con hidrogrúa cuando aplique.",Pedir responsable de obra; cotizar un próximo traslado.,"https://www.google.com/maps/search/?api=1&query=-33.119000,-64.351000",soardoconstrucciones.site,134
5,A,CAGLE — Cooperativa Agrícola de Elena,Río Cuarto / RN36 sur,Elena,Elena,Acopio / agro / estación de servicios,3584 881118,OK,operaciones / entregas,"Entrega y descarga de módulos/containers: plataforma 15/20 tn, malacate y posicionamiento en obra.",Obras recientes + nueva planta futura: transporte de equipos.,"https://www.google.com/maps/search/?api=1&query=-32.569649,-64.392432",cagle.com.ar,132
6,A,Canteras Bringas,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,Áridos / hormigón / obra pública,0358 154906010,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador y materiales entre frentes; descarga segura con hidrogrúa cuando aplique.",Pegada a Circunvalación: muy caliente para obra vial.,"https://www.google.com/maps/search/?api=1&query=-33.145000,-64.425000",gurugo.com.ar / canterasbringas.ar,132
7,A,CasaContainer Río Cuarto,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,Módulos / containers,0358 4310288,OK,operaciones / entregas,"Entrega y descarga de módulos/containers: plataforma 15/20 tn, malacate y posicionamiento en obra.",Ellos venden “te lo llevamos”; PRESOL puede ser proveedor logístico.,"https://www.google.com/maps/search/?api=1&query=-33.118737,-64.382102",Facebook CasaContainer,132
8,A,Cotagro — Alcira Gigena,Río Cuarto / RN36 sur,Alcira Gigena,Alcira Gigena,Cooperativa agroindustrial / maní / acopio,358 4393127 / 358 4125695 / 0358 4933333,OK,operaciones / entregas,"Entrega y descarga de módulos/containers: plataforma 15/20 tn, malacate y posicionamiento en obra.",Cotagro concentra 4 puntos del corredor; pedir compras/logística.,"https://www.google.com/maps/search/?api=1&query=-32.755782,-64.339199",Facebook Cotagro / cotagroweb.com.ar,132
9,A,Marinelli S.A.,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,Áridos / hormigón / obras,0358 4647058,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador y materiales entre frentes; descarga segura con hidrogrúa cuando aplique.",Tiene cantera y flota; ofrecer respaldo/picos/traslados especiales.,"https://www.google.com/maps/search/?api=1&query=-33.102771,-64.336058",marinellisa.store,132
10,A,Salsiteco S.A.,Villa María / RP6,Villa María,Villa María,Constructora / movimiento de suelo,0353 4524006 / 0353 5006023,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador y materiales entre frentes; descarga segura con hidrogrúa cuando aplique.",Muy buen encaje con obras viales; pedir jefe de obra.,"https://www.google.com/maps/search/?api=1&query=-32.412000,-63.236000",salsiteco.com.ar,129
