nombre,wa_link,score,ciudad,vertical,nota
MMLUISA Inmobiliaria - Villa Carlos Paz,wa.me/543541528601,70,Córdoba,inmobiliaria,✅ VALID - Córdoba landline
Asociación de Abogados BsAs - AABA,wa.me/5491143718869,70,CABA,abogado,✅ VALID - 13digit AR mobile format
Estudio Jurídico Mogliani - Córdoba,wa.me/543511559438,60,Córdoba,abogado,✅ VALID - Córdoba landline
IZA Inmobiliaria - Mar del Plata,wa.me/542235776000,60,MdP,inmobiliaria,✅ VALID - MdP landline 0223
FACPCE - Federación Consejos Profesionales,wa.me/5491148131758,60,CABA,contador,"✅ VALID - institutional, 11 4813-1758"
Clínica y Maternidad del Sol - Córdoba,wa.me/543517555444,60,Córdoba,clinica,✅ VALID - Córdoba 351
RYM GROUP - Abogados MdP,wa.me/54992236125533,60,MdP,abogado,✅ VALID - wa.me link confirmed
Sanatorio Otamendi - CABA,wa.me/5491128382351,60,CABA,clinica,✅ VALID - 11 2838-2351 institutional
Sanatorio de la Providencia - CABA,wa.me/541152999000,70,CABA,clinica,⚠️ SUSPECT - 11 digits? Real: 11 5299-9000
Estudio del AMO - Estudio Contable CABA,wa.me/54991150615387,70,CABA,contador,"⚠️ MASKED - 4 digits hidden, real: 11 15XX-XXXX"
Constructora en CABA - Kohon,wa.me/54991124648507,70,CABA,constructora,⚠️ MASKED - 4 digits hidden
Grupo Legal - Estudio Jurídico CABA,wa.me/54991178419797,60,CABA,abogado,⚠️ MASKED - 4 digits hidden
CCA Estudio Contable - CABA,wa.me/54991168930541,60,CABA,contador,⚠️ MASKED - partial
Dr. Perez Lloveras - Abogado Penalista Córdoba,wa.me/5493517024268,60,Córdoba,abogado,⚠️ MASKED - real: 351 702-4268
MDO Garage - Taller Mecánico Avellaneda,wa.me/541521760897,60,CABA,taller,"⚠️ SUSPECT - 10 digits, needs 54 prefix"
