nombre,telefono,ciudad,provincia,website,fuente,outreach_status,scraped_at
JB SRUR | Inmobiliaria + Desarrollista,+54 351 460-8800,Córdoba Capital,Córdoba,http://www.jbsrur.com.ar/,google_maps,pending,2026-04-23T17:39:30.720920
VAES Propiedades - Inmobiliaria de Córdoba,+54 351 423-0066,Córdoba Capital,Córdoba,http://www.vaespropiedades.com.ar/,google_maps,pending,2026-04-23T17:39:30.721024
Inmobiliaria Costamagna,+54 351 857-1964,Córdoba Capital,Córdoba,http://www.inmocostamagna.com/,google_maps,pending,2026-04-23T17:39:30.721043
Caffaratti Inmobiliaria,+54 351 569-8000,Córdoba Capital,Córdoba,https://www.rcaffaratti.com/,google_maps,pending,2026-04-23T17:39:30.721066
Taiana Propiedades Inmobiliaria en Córdoba,+54 351 422-5827,Córdoba Capital,Córdoba,http://taianapropiedades.com/,google_maps,pending,2026-04-23T17:39:30.721104
Propuestas Inmobiliarias S.A,+54 351 651-2008,Córdoba Capital,Córdoba,http://propuestas-inmobiliarias.com/,google_maps,pending,2026-04-23T17:39:30.721122
Inmobiliaria Cordoba,+54 351 241-5056,Córdoba Capital,Córdoba,https://altacordoba.com.ar/,google_maps,pending,2026-04-23T17:39:30.721127
Ordano Inmuebles,+54 351 245-5444,Córdoba Capital,Córdoba,http://ordanoinmuebles.com.ar/,google_maps,pending,2026-04-23T17:39:30.721149
Bergo Servicios Inmobiliarios,+54 351 348-6898,Córdoba Capital,Córdoba,http://www.eduardobergo.com.ar/,google_maps,pending,2026-04-23T17:39:30.721159
López Baena Propiedades,+54 351 396-2652,Córdoba Capital,Córdoba,http://lopezbaena.com.ar/,google_maps,pending,2026-04-23T17:39:30.721177
Aldo Peppino - Servicios Inmobiliarios,+54 351 429-0055,Córdoba Capital,Córdoba,https://aldopeppino.com.ar/,google_maps,pending,2026-04-23T17:39:30.721205
NOBLES RAICES,+54 351 425-4060,Córdoba Capital,Córdoba,http://www.noblesraices.com/,google_maps,pending,2026-04-23T17:39:30.721221
Inmobiliaria Ballesteros (Nueva Cordoba),+54 9 351 511-2648,Córdoba Province,Córdoba,,google_maps,pending,2026-04-23T17:39:30.721242
Zamora Inmobiliaria,+54 351 637-3537,Córdoba Province,Córdoba,http://www.inmobiliaria-zamora.com/,google_maps,pending,2026-04-23T17:39:30.721257
Portugal Inmobiliaria,+54 351 763-3299,Córdoba Province,Córdoba,https://www.portugalinmuebles.com/,google_maps,pending,2026-04-23T17:39:30.721278
ilamarca.com - Inmobiliaria Lamarca,+54 351 329-0796,Córdoba Province,Córdoba,http://www.ilamarca.com/,google_maps,pending,2026-04-23T17:39:30.721292
Consultia Inmobiliaria .,+54 351 549-9385,Córdoba Province,Córdoba,http://consultiainmo.com/,google_maps,pending,2026-04-23T17:39:30.721309
Facundo zarate Inmobiliaria,+54 351 678-8810,Córdoba Province,Córdoba,http://zarateinmobiliaria.com.ar/,google_maps,pending,2026-04-23T17:39:30.721325
VINELLI INMOBILIARIA,+54 11 3137-1501,Buenos Aires Capital,Córdoba,https://www.vinelli.com.ar/index,google_maps,pending,2026-04-23T17:39:30.721340
at buenos aires,+54 11 4344-9600,Buenos Aires Capital,Córdoba,http://www.atbuenosaires.com/,google_maps,pending,2026-04-23T17:39:30.721360
En Buenos Aires,+54 11 6091-7761,Buenos Aires Capital,Córdoba,https://www.enbuenosaires.com/,google_maps,pending,2026-04-23T17:39:30.721387
Central Real Estate Argentina | Leading Real Estate Companies of the World | Luxury Portfolio Internacional,+54 47893700,Buenos Aires Capital,Córdoba,http://www.centralre.com.ar/,google_maps,pending,2026-04-23T17:39:30.721416
RBA Inmobiliaria,+54 11 4814-2224,Buenos Aires Capital,Córdoba,http://www.realtyba.com.ar/,google_maps,pending,2026-04-23T17:39:30.721428
Rincones de Buenos Aires,+54 11 2153-0253,Buenos Aires Capital,Córdoba,http://www.rinconesbuenosaires.com.ar/,google_maps,pending,2026-04-23T17:39:30.721437
Di Mitrio Inmobiliaria,+54 43003054,Buenos Aires Capital,Córdoba,http://www.dimitrio.com.ar/,google_maps,pending,2026-04-23T17:39:30.721452
GRUPO TGR,+54 11 5237-1107,Buenos Aires Capital,Córdoba,http://www.tgrprop.com.ar/,google_maps,pending,2026-04-23T17:39:30.721474
Fera Propiedades CABA,+54 11 8060-2600,Buenos Aires Capital,Córdoba,https://www.ferayasociados.com/,google_maps,pending,2026-04-23T17:39:30.721485
BUEPROP,+54 11 5760-0000,Buenos Aires Capital,Córdoba,http://www.bueprop.com/,google_maps,pending,2026-04-23T17:39:30.721506
Rivas Inmuebles,+54 11 6827-4827,Buenos Aires Capital,Córdoba,http://www.rivasinmuebles.com.ar/,google_maps,pending,2026-04-23T17:39:30.721517
COSA Propiedades Inmobiliaria Rosario.,+54 341 426-2550,Rosario,Córdoba,http://www.cosapropiedades.com/,google_maps,pending,2026-04-23T17:39:30.721522
GARGARELLA INMOBILIARIA,+54 341 449-4637,Rosario,Córdoba,http://www.waltergargarella.com/,google_maps,pending,2026-04-23T17:39:30.721527
Ducler Inmobiliaria | Alquileres y Ventas en Rosario.,+54 341 654-8008,Rosario,Córdoba,http://www.ducler.com.ar/,google_maps,pending,2026-04-23T17:39:30.721531
Adrián Giaganti Negocios Inmobiliarios,+54 341 438-1111,Rosario,Córdoba,http://www.giaganti.com.ar/,google_maps,pending,2026-04-23T17:39:30.721542
Uno Propiedades,+54 341 449-8484,Rosario,Córdoba,https://www.uno-propiedades.com.ar/,google_maps,pending,2026-04-23T17:39:30.721547
Fidentia Negocios Inmobiliarios - Inmobiliarias en Rosario,+54 341 261-9285,Rosario,Córdoba,http://www.fidentia.com.ar/,google_maps,pending,2026-04-23T17:39:30.721556
Alsedá Inmuebles,+54 341 558-0638,Rosario,Córdoba,http://www.alseda.com.ar/,google_maps,pending,2026-04-23T17:39:30.721560
Dunod Propiedades,+54 341 420-4500,Rosario,Córdoba,http://www.dunod.com.ar/,google_maps,pending,2026-04-23T17:39:30.721575
Excellence Servicios Inmobiliarios,+54 341 311-2022,Rosario,Córdoba,http://www.inmobiliariaexcellence.com/,google_maps,pending,2026-04-23T17:39:30.721579
Inmobiliaria Gana Propiedades,+54 9 341 267-5674,Rosario,Córdoba,http://www.ganapropiedades.com.ar/,google_maps,pending,2026-04-23T17:39:30.721589
Sanz y Ordoqui Propiedades,+54 223 495-5574,Mar del Plata,Córdoba,https://sanzyordoqui.com.ar/,google_maps,pending,2026-04-23T17:39:30.721606
DEL VALLE estudio inmobiliario (reg 2886),+54 223 581-6622,Mar del Plata,Córdoba,https://www.estudiodelvalle.com.ar/,google_maps,pending,2026-04-23T17:39:30.721616
Inmobiliaria Latorre Mar del Plata,+54 223 590-1529,Mar del Plata,Córdoba,http://www.inmobiliarialatorre.com.ar/,google_maps,pending,2026-04-23T17:39:30.721621
Inmobiliaria María Inés Lledó,+54 223 494-3828,Mar del Plata,Córdoba,http://www.inmobiliarialledo.com.ar/,google_maps,pending,2026-04-23T17:39:30.721625
Nizzi Propiedades,+54 223 451-1861,Mar del Plata,Córdoba,https://nizzipropiedades.com/,google_maps,pending,2026-04-23T17:39:30.721660
Matías Sosa Broker Inmobiliario,+54 223 344-7092,Mar del Plata,Córdoba,http://www.matiassosa.com/,google_maps,pending,2026-04-23T17:39:30.721677
Introcaso Propiedades,+54 223 491-3170,Mar del Plata,Córdoba,http://www.introcasopropiedades.com.ar/,google_maps,pending,2026-04-23T17:39:30.721681
Inmobiliaria Dal Molin,+54 223 525-4557,Mar del Plata,Córdoba,https://www.alejandradalmolin.com.ar/,google_maps,pending,2026-04-23T17:39:30.721685
Jorge J. Bianchi Inmobiliaria,+54 223 560-9937,Mar del Plata,Córdoba,,google_maps,pending,2026-04-23T17:39:30.721694
Inmobiliaria en Mar del Plata - Berasueta Alquileres,+54 223 491-7371,Mar del Plata,Córdoba,https://www.inmobiliariaberasueta.com/,google_maps,pending,2026-04-23T17:39:30.721699
Napolitano Inmobiliaria,+54 223 699-9826,Mar del Plata,Córdoba,http://www.napolitanoinmobiliaria.com.ar/,google_maps,pending,2026-04-23T17:39:30.721708
Gustavo Teruel Inmobiliaria,+54 223 451-1889,Mar del Plata,Córdoba,https://gustavoteruel.com/,google_maps,pending,2026-04-23T17:39:30.721712
GAMA Inmobiliaria,+54 223 633-7766,Mar del Plata,Córdoba,http://www.gama-inmobiliaria.com.ar/,google_maps,pending,2026-04-23T17:39:30.721722
