sep=;
prioridad;nombre;telefono_google;whatsapp_estado;whatsapp_para_contacto;whatsapp_link;website;email;direccion;rating;reviews;categoria;nota_outreach;query_fuente;cid
🔴;Oyharzábal Propiedades;02254 44-0008;confirmado_en_web;5492254440008;https://wa.me/5492254440008;https://www.oyharzabalpropiedades.com.ar/;oyharzabalpropiedades@gmail.com;Av. Arquitecto Jorge Bunge 324 Loc 7, B7167 Pinamar, Provincia de Buenos Aires;5;274;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliarias Pinamar Buenos Aires;3886896450083493766
🔴;Mariano Damiani Estudio Inmobiliario;02254 40-7070;confirmado_en_web;5492267675039;https://wa.me/5492267675039;http://www.marianodamiani.com.ar/;info@marianodamiani.com.ar;Av. del Libertador 122, B7167 Pinamar, Provincia de Buenos Aires;4.5;157;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliarias Pinamar Buenos Aires;7892466898276741397
🔴;Inmobiliaria Balmoral Propiedades;02254 48-5772;confirmado_en_web;5492254418172;https://wa.me/5492254418172;http://www.balmoral.com.ar/;info@carriquiry.com.uy, balmoral@balmoral.com.ar;Av. Arquitecto Jorge Bunge 324 Loc Nro 4, B7167 Pinamar, Provincia de Buenos Aires;3.7;140;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliaria Pinamar;13313061217668602729
🔴;Daniel Briggs Propiedades;02254 40-2432;confirmado_en_web;5492267536748;https://wa.me/5492267536748;http://www.danielbriggspropiedades.com/;info@danielbriggspropiedades.com;Azopardo 1749, B7167 Valeria del Mar, Provincia de Buenos Aires;4.4;104;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliaria Valeria del Mar Pinamar;17603912516819902281
🔴;Venezia House Propiedades;;confirmado_en_web;5492254509564;https://wa.me/5492254509564;http://www.veneziahouse.com.ar/;inmobiliariaveneziahouse@gmail.com;Av. Espora 498, B7167 Valeria del Mar, Provincia de Buenos Aires;4.1;103;Empresa de administración de propiedades;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliaria Valeria del Mar Pinamar;13451738324164021823
🔴;CASAMIA PROPIEDADES;02267 15-43-8881;confirmado_en_web;5492267438881;https://wa.me/5492267438881;http://www.casamiapropiedades.com.ar/;info@casamiapropiedades.com.ar;Av. del Libertador 60, B7167 Pinamar, Provincia de Buenos Aires;4.9;92;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliarias Pinamar Buenos Aires;12957924475019328777
🔴;Santamarina Propiedades;02254 57-1055;confirmado_en_web;5491159003988;https://wa.me/5491159003988;http://www.santamarinapropiedades.com/;info@santamarinapropiedades.com;Av. Divisadero 1526 Loc 22, B7167ZAA Cariló, Provincia de Buenos Aires;4.8;88;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliaria Cariló Pinamar;8688705808766528585
🔴;EME ESE INMOBILIARIA;02254 48-2531;confirmado_en_web;5491531065534;https://wa.me/5491531065534;http://emeese.com.ar/;info@emeese.com.ar;Av. del Libertador 122 Loc Nº 12, B7167 Pinamar, Provincia de Buenos Aires;3.9;82;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliaria Pinamar;15191013741319603508
🔴;Marcel Gestion Inmobiliaria;02267 44-3654;confirmado_en_web;5492267443654;https://wa.me/5492267443654;https://www.marcelgestion.com.ar/;;Av. Arquitecto Jorge Bunge 324 Loc 5, B7167 Pinamar, Provincia de Buenos Aires;4.3;76;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir";inmobiliarias Pinamar Buenos Aires;14540900086198025801
🔴;Bar inmobiliario Dinamismo Inmobiliario - Pinamar;02254 48-1166;confirmado_en_web;5492254621166;https://wa.me/5492254621166;http://www.dinamismoinmobiliario.com/;;Jason 1055, B7167 Pinamar, Provincia de Buenos Aires;4.4;68;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir";inmobiliarias Pinamar Buenos Aires;10747070546722699093
🔴;Inmobiliaria Lamarque;02267 66-6385;confirmado_en_web;5492267666385;https://wa.me/5492267666385;http://www.lamarque.com.ar/;info@lamarque.com.ar;Av. Espora 899, B7167 Valeria del Mar, Provincia de Buenos Aires;4.3;61;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliaria Valeria del Mar Pinamar;10237761893078742715
🔴;Jorge Guerrero Inmobiliaria & Construcciones;02254 47-0058;confirmado_en_web;5491132313898;https://wa.me/5491132313898;https://www.jorgeguerrero.com.ar/;info@jorgeguerrero.com.ar;Centro Comercial Carilo, Av. Divisadero 1526 Loc 7, B7167 Cariló, Provincia de Buenos Aires;4.4;49;Agentes inmobiliarios;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliaria Cariló Pinamar;16484299712318491853
🔴;Gómez Taverna Inmobiliaria;02254 60-4653;confirmado_en_web;5492254604653;https://wa.me/5492254604653;https://www.gomeztaverna.com.ar/;info@gomeztaverna.com.ar;Rivadavia 779 Local 4, B7167 Pinamar, Provincia de Buenos Aires;5;29;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";broker inmobiliario Pinamar;2054461445855474025
🔴;Benitez inmobiliaria pinamar;02297 40-9477;confirmado_en_web;5492297409477;https://wa.me/5492297409477;http://www.benitezinmobiliaria.com.ar/;info@benitezinmobiliaria.com.ar;De la Corvina 1296 Loc 7, B7167 Pinamar, Provincia de Buenos Aires;5;26;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliarias Pinamar Buenos Aires;12100121037135201967
🔴;Miñán Propiedades;011 2310-2992;confirmado_en_web;5491123102992;https://wa.me/5491123102992;https://xn--mianpropiedades-zqb.com.ar/;germanminanpropiedades@gmail.com;7167, Del Buen Orden 101, B7167 Pinamar, Provincia de Buenos Aires;4.9;26;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";broker inmobiliario Pinamar;9176618819845816975
🔴;Inmobiliaria EDGAR Propiedades;02254 61-1618;confirmado_en_web;5492254611618;https://wa.me/5492254611618;http://www.edgarpropiedades.com.ar/;inmobiliariaedgar@yahoo.com.ar;Av. Espora 955, B7167 Pinamar, Provincia de Buenos Aires;4.2;19;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliaria Valeria del Mar Pinamar;17352699246141994866
🔴;Dom Inmobiliaria - Valeria del Mar;02254 40-9949;confirmado_en_web;5491144217593;https://wa.me/5491144217593;https://www.dominmobiliaria.com.ar/;;Azopardo 1025, B7166 Pinamar, Provincia de Buenos Aires;5;15;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir";inmobiliaria Valeria del Mar Pinamar;4848368002509949708
🔴;Di Francesco Inmobiliaria;02254 49-0099;confirmado_en_web;5491133061200;https://wa.me/5491133061200;http://www.inmobiliariadifrancesco.com/;difrancescoinmobiliaria@gmail.com;Av. del Libertador 149, B7167DKB Pinamar, Provincia de Buenos Aires;4.6;14;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";broker inmobiliario Pinamar;735455984385476553
🟡;Constructora del Bosque;02254 57-1003;probable_no_verificado_google_phone;5492254571003;https://wa.me/5492254571003;http://www.constructoradelbosque.com/;;Av. Divisadero 1526, B7167 Cariló, Provincia de Buenos Aires;4.7;334;Agencia inmobiliaria;"Teléfono de Google; WhatsApp a verificar manualmente; tiene web para auditar antes de escribir";inmobiliaria Cariló Pinamar;14112081024540804680
🟡;Mingrone Propiedades - Inmobiliaria - Valeria del Mar;02254 51-5167;probable_no_verificado_google_phone;5492254515167;https://wa.me/5492254515167;http://www.mingronepropiedades.com.ar/;info@mingronepropiedades.com.ar;Av. Espora 698, B7167 Pinamar, Provincia de Buenos Aires;4.7;153;Agencia inmobiliaria;"Teléfono de Google; WhatsApp a verificar manualmente; tiene web para auditar antes de escribir; email visible";inmobiliarias Pinamar Buenos Aires;16777864617680324018
🟡;Inmobiliaria Cignetti;02254 59-3879;probable_no_verificado_google_phone;5492254593879;https://wa.me/5492254593879;http://www.cignettipropiedades.com.ar/;;Azopardo 462, B7167 Valeria del Mar, Provincia de Buenos Aires;4.1;89;Agencia inmobiliaria;"Teléfono de Google; WhatsApp a verificar manualmente; tiene web para auditar antes de escribir";inmobiliaria Valeria del Mar Pinamar;17960986859381392698
🟡;Mingrone Propiedades;02254 51-5167;probable_no_verificado_google_phone;5492254515167;https://wa.me/5492254515167;https://www.mingronepropiedades.com.ar/;info@mingronepropiedades.com.ar;Av. Constitución 380, B7167 Pinamar, Provincia de Buenos Aires;4.9;80;Agencia inmobiliaria;"Teléfono de Google; WhatsApp a verificar manualmente; tiene web para auditar antes de escribir; email visible";inmobiliarias Pinamar Buenos Aires;16877167457908258698
🟡;Cedro Azul Propiedades;02254 49-8301;probable_no_verificado_google_phone;5492254498301;https://wa.me/5492254498301;http://www.cedroazulprop.com.ar/;;Cnel. Franklin Seaver & Cnel. de Marina N. Jorge, Valeria del Mar, Provincia de Buenos Aires;4.6;57;Agencia inmobiliaria;"Teléfono de Google; WhatsApp a verificar manualmente; tiene web para auditar antes de escribir";inmobiliaria Valeria del Mar Pinamar;11800420506860861297
🟢;Inmobiliaria - Elisa Mazzei;011 15-3950-6774;sin_numero_util;;;https://elisamazzei.com/;elisamazzei@hotmail.com.ar;Av. Arquitecto Jorge Bunge 1596 Loc 1, B7167 Pinamar, Provincia de Buenos Aires;4.8;52;Agencia inmobiliaria;"sin teléfono usable; tiene web para auditar antes de escribir; email visible";inmobiliarias Pinamar Buenos Aires;2676626351309558208
