sep=;
prioridad;nombre;telefono_google;whatsapp_estado;whatsapp_para_contacto;whatsapp_link;website;email;direccion;rating;reviews;categoria;nota_outreach;query_fuente;cid
🔴;Anton Bienes Raices;02255 45-5067;confirmado_en_web;5492267401385;https://wa.me/5492267401385;http://www.antonbienesraices.com/;info@antonbienesraices.com;Paseo 128 y, Av. 3 Nº 2790, B7165 Villa Gesell, Provincia de Buenos Aires;4.4;192;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliaria Villa Gesell;6452006745822651357
🔴;Roncoroni Propiedades;02255 45-4969;confirmado_en_web;5492255608005;https://wa.me/5492255608005;http://www.roncoroni-propiedades.com/;hola@terravirtual.com.ar, gesell@roncoroni-propiedades.com;Av. Buenos Aires 1104, B7165 Villa Gesell, Provincia de Buenos Aires;4.4;119;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliarias Villa Gesell Buenos Aires;3618296117663779205
🔴;Daiana Cruz Inmobiliaria;02255 15-52-8490;confirmado_en_web;5492255528490;https://wa.me/5492255528490;http://www.daianacruz.com.ar/;inmobiliaria@daianacruz.com.ar, sistema.inmosoft@gmail.com;Av. del Plata, B7165 Mar de las Pampas, Provincia de Buenos Aires;4.7;103;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliaria Mar de las Pampas;16608876786388581888
🔴;INMOBILIARIA SILVIA FERNANDEZ;02255 50-9408;confirmado_en_web;5492255509408;https://wa.me/5492255509408;https://www.silviafernandezpropiedades.com.ar/;braicesfernandez@gmail.com;Calle 34, Mar del Plata &, Mar Azul;4.8;94;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliaria Mar Azul Buenos Aires;4799740441740711336
🔴;G Calvo Propiedades;02255 15-41-0319;confirmado_en_web;5492255410319;https://wa.me/5492255410319;https://www.calvopropiedades.com.ar/;hola@terravirtual.com.ar, gcalvopropiedades@gmail.com;Av. Buenos Aires 750, B7165 Villa Gesell, Provincia de Buenos Aires;4.6;86;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliarias Villa Gesell Buenos Aires;14806552223894566600
🔴;Inmobiliaria Serodino;02255 46-2622;confirmado_en_web;5492255409218;https://wa.me/5492255409218;https://serodino.com.ar/;inmobiliariaserodino@gmail.com;Av. 3 817, B7165 Villa Gesell, Provincia de Buenos Aires;4.4;77;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliarias Villa Gesell Buenos Aires;6109478910608165475
🔴;Gianini Gesell;02255 45-0525;confirmado_en_web;5491557132083;https://wa.me/5491557132083;http://gianiniinmobiliaria.com.ar/;inmobiliariagianini@gmail.com, gianiniinmobiliaria@gmail.com;Av. Buenos Aires 1134, B7165 Villa Gesell, Provincia de Buenos Aires;3.3;62;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";propiedades Villa Gesell inmobiliaria;13658271389815296933
🔴;Fabián Estanga Negocios Inmobiliarios;02255 45-3009;confirmado_en_web;5492255626296;https://wa.me/5492255626296;http://www.fabianestanga.com/;hola@terravirtual.com.ar, info@fabianestanga.com;Av. El Lucero, Mercedes Sosa &, B7165 Mar de las Pampas, Provincia de Buenos Aires;4.5;56;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliaria Mar de las Pampas;3561481041968283842
🔴;Marcela Maciel Inmobiliaria;02255 46-3800;confirmado_en_web;5492255415366;https://wa.me/5492255415366;http://www.macielpropiedades.com.ar/;hola@terravirtual.com.ar, propiedadesmaciel@gmail.com;Av. 3 n° 4127, B7165 Villa Gesell, Provincia de Buenos Aires;4.6;56;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliarias Villa Gesell Buenos Aires;16257206285488391209
🔴;Inmobiliaria Graziani;02255 46-2123;confirmado_en_web;5492255410244;https://wa.me/5492255410244;https://www.grazianiprop.com.ar/;graziani@gesell.com.ar;Avenida 3, Paseo 110 Esquina, Villa Gesell, Provincia de Buenos Aires;4.1;51;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliarias Villa Gesell Buenos Aires;4205547355990358731
🔴;Moyano Propiedades;02267 47-5716;confirmado_en_web;5492267475716;https://wa.me/5492267475716;https://mdmoyanopropiedades.com.ar/;info@mdmoyanopropiedades.com.ar;Galería al lado de Bacará, Av 3 y Paseo 106, Galería Futura, Local 9, B7165 Villa Gesell, Provincia de Buenos Aires;5;46;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliarias Villa Gesell Buenos Aires;9106340415961333030
🔴;Inmobiliaria Oczowinski Propiedades, Villa Gesell;02255 60-1915;confirmado_en_web;5492255601915;https://wa.me/5492255601915;https://oczowinskipropiedades.com/;consultas@gesellpropiedades.com;Av. Buenos Aires N°461, B7165 Villa Gesell, Provincia de Buenos Aires;4.6;44;Agentes inmobiliarios;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliarias Villa Gesell Buenos Aires;11022575707623146434
🔴;Ressia MB Bienes Raices;02255 53-4300;confirmado_en_web;5492255534300;https://wa.me/5492255534300;http://www.ressiabienesraices.com.ar/;ressiabienesraices@gmail.com;Av. 2 881, B7165 Villa Gesell, Provincia de Buenos Aires;4.9;28;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";broker inmobiliario Villa Gesell;2201461194769984353
🔴;Rodriguez Inmobiliaria;02255 40-6658;confirmado_en_web;5492255406658;https://wa.me/5492255406658;http://www.gladysrodriguezpropiedades.com.ar/;rodriguezinmobiliaria01@gmail.com;Av. Buenos Aires 398, B7165 Villa Gesell, Provincia de Buenos Aires;4.9;21;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliarias Villa Gesell Buenos Aires;17798247962652518439
