sep=;
prioridad;nombre;telefono_google;whatsapp_estado;whatsapp_para_contacto;whatsapp_link;website;email;direccion;rating;reviews;categoria;nota_outreach;query_fuente;cid
🔴;Sanz y Ordoqui Propiedades - Inmobiliaria Mar del Plata;0223 495-5574;confirmado_en_web;5492236105556;https://wa.me/5492236105556;https://sanzyordoqui.com.ar/;info@sanzyordoqui.com.ar;Av. Colón 2034, B7600 Mar del Plata, Provincia de Buenos Aires;4.4;354;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliarias Mar del Plata;9495609528822938244
🔴;DEL VALLE estudio inmobiliario (reg 2886);0223 581-6622;confirmado_en_web;5492235205547;https://wa.me/5492235205547;https://www.estudiodelvalle.com.ar/;;Saavedra 2009, B7600 Mar del Plata, Provincia de Buenos Aires;4.7;313;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir";inmobiliarias Mar del Plata;5169928890754084680
🔴;Matías Sosa Broker Inmobiliario;0223 344-7092;confirmado_en_web;5492233447092;https://wa.me/5492233447092;http://www.matiassosa.com/;;Avellaneda 401, B7600 Mar del Plata, Provincia de Buenos Aires;4.9;248;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir";inmobiliarias Mar del Plata;4007454847181846265
🔴;Nizzi Propiedades;0223 451-1861;confirmado_en_web;5492235366800;https://wa.me/5492235366800;https://nizzipropiedades.com/;info@nizzipropiedades.com;Santiago del Estero 3300, B7600 Mar del Plata, Provincia de Buenos Aires;4.9;234;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliarias Mar del Plata;5069417929515937355
🔴;Arbini Propiedades;0223 15-511-0358;confirmado_en_web;5492235110355;https://wa.me/5492235110355;http://arbinipropiedades.com.ar/;info@arbinipropiedades.com.ar;Rawson 1457, B7600FEE Mar del Plata, Provincia de Buenos Aires;4.9;172;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliarias Mar del Plata;8133607051539301583
🔴;Inmobiliaria María Inés Lledó;0223 494-3828;confirmado_en_web;5492233425511;https://wa.me/5492233425511;http://www.inmobiliarialledo.com.ar/;;Entre Ríos 1848, B7600 Mar del Plata, Provincia de Buenos Aires;4.5;152;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir";inmobiliarias Mar del Plata;4792725094241333013
🔴;Napolitano Inmobiliaria;0223 699-9826;confirmado_en_web;5492235504554;https://wa.me/5492235504554;http://www.napolitanoinmobiliaria.com.ar/;;Castelli 1371, B7600 Mar del Plata, Provincia de Buenos Aires;4.8;133;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir";inmobiliarias Mar del Plata;4303917114938991592
🔴;Cecilia Martini Inmobiliaria;0223 456-5365;confirmado_en_web;5492234565365;https://wa.me/5492234565365;http://www.ceciliamartini.com/;martinimariacecilia@gmail.com;Av. Libertad 3151, B7600 Mar del Plata, Provincia de Buenos Aires;4.9;128;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliarias Mar del Plata;16549495415680115995
🔴;Inmobiliaria Berasueta - Alquileres en Mar del Plata;0223 491-7371;confirmado_en_web;5492235948355;https://wa.me/5492235948355;https://www.inmobiliariaberasueta.com/;;Moreno 2228, B7600GHB Mar del Plata, Provincia de Buenos Aires;3.9;107;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir";inmobiliaria alquileres Mar del Plata;15396291682141098675
🔴;Inmobiliaria LEO;0223 485-0700;confirmado_en_web;5492236366651;https://wa.me/5492236366651;https://www.inmobiliaria-leo.com.ar/;inmobiliaria_leo@hotmail.com;Puán 2191, B7600 Mar del Plata, Provincia de Buenos Aires;4.7;105;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliaria venta propiedades Mar del Plata;13526071318539987579
